cell_clean,cell.x,integration_cluster,cell.y,cell_type,sample_type
X121202311117155.N,X121202311117155_X_.N,2,X121202311117155.N,Pro-angiogenesis Macrophage,N
X121202323447012.N,X121202323447012_X_.N,7,X121202323447012.N,Macrophage,N
X121202323639604.T,X121202323639604_Y_.T,5,X121202323639604.T,B Cell,T
X121202323712925.N,X121202323712925_X_.N,1,X121202323712925.N,CD8 T or NK cell,N
X121202323877107.T,X121202323877107_Y_.T,2,X121202323877107.T,Phagocytosis Macrophage,T
X121202324171053.N,X121202324171053_X_.N,3,X121202324171053.N,Pro-angiogenesis Macrophage,N
X121202324172004.N,X121202324172004_X_.N,13,X121202324172004.N,Lung Cancer Cell,N
X121202342218165.N,X121202342218165_X_.N,1,X121202342218165.N,Effector/Memory CD4+ T cells,N
X121202342259059.T,X121202342259059_Y_.T,5,X121202342259059.T,B Cell,T
X121202342320045.N,X121202342320045_X_.N,0,X121202342320045.N,Effector/Memory CD4+ T cells,N
X121202342324532.T,X121202342324532_Y_.T,1,X121202342324532.T,CD8+ T cell,T
X121202343042484.N,X121202343042484_X_.N,0,X121202343042484.N,Effector/Memory CD4+ T cells,N
X121202343102387.T,X121202343102387_Y_.T,10,X121202343102387.T,CAFinfla,T
X121276786982315.T,X121276786982315_Y_.T,5,X121276786982315.T,B Cell,T
X121276787485998.T,X121276787485998_Y_.T,0,X121276787485998.T,Tfh/Th1 helper CD4+ T cells,T
X121276787747565.T,X121276787747565_Y_.T,5,X121276787747565.T,B Cell,T
X121276801693556.T,X121276801693556_Y_.T,1,X121276801693556.T,CD8+ T cell,T
X121276802226595.N,X121276802226595_X_.N,3,X121276802226595.N,Pro-angiogenesis Macrophage,N
X121276802386804.T,X121276802386804_Y_.T,0,X121276802386804.T,T regulatory cells,T
X121276802452260.N,X121276802452260_X_.N,8,X121276802452260.N,Normal Fibroblast,N
X121276814215965.T,X121276814215965_Y_.T,0,X121276814215965.T,Effector/Memory CD4+ T cells,T
X121276814252395.T,X121276814252395_Y_.T,1,X121276814252395.T,Effector/Memory CD8+ T cells,T
X121276814473588.N,X121276814473588_X_.N,0,X121276814473588.N,Effector/Memory CD8+ T cells,N
X121276814517995.T,X121276814517995_Y_.T,5,X121276814517995.T,B Cell,T
X121276814739700.N,X121276814739700_X_.N,7,X121276814739700.N,Pro-angiogenesis Macrophage,N
X121276815001398.T,X121276815001398_Y_.T,0,X121276815001398.T,T regulatory cells,T
X121276833089899.N,X121276833089899_X_.N,4,X121276833089899.N,Macrophage,N
X121276833360180.T,X121276833360180_Y_.T,10,X121276833360180.T,CAFadi,T
X121276833385781.N,X121276833385781_X_.N,2,X121276833385781.N,Pro-angiogenesis Macrophage,N
X121276833642228.N,X121276833642228_X_.N,0,X121276833642228.N,Effector/Memory CD4+ T cells,N
X121276833676014.T,X121276833676014_Y_.T,4,X121276833676014.T,Blood Cell,T
X121319736891638.T,X121319736891638_Y_.T,0,X121319736891638.T,CD4+ T cell,T
X121319737416563.N,X121319737416563_X_.N,2,X121319737416563.N,Pro-angiogenesis Macrophage,N
X121319751281582.T,X121319751281582_Y_.T,0,X121319751281582.T,CD4+ T cell,T
X121319751370981.T,X121319751370981_Y_.T,0,X121319751370981.T,CD4+ T cell,T
X121319751629166.N,X121319751629166_X_.N,7,X121319751629166.N,Macrophage,N
X121319751629166.T,X121319751629166_Y_.T,1,X121319751629166.T,Exhausted CD8+ T cells,T
X121319751802164.N,X121319751802164_X_.N,2,X121319751802164.N,Pro-angiogenesis Macrophage,N
X121319751837916.T,X121319751837916_Y_.T,12,X121319751837916.T,Endothelial Cells,T
X121319752124781.T,X121319752124781_Y_.T,8,X121319752124781.T,Normal Fibroblast,T
X121319752165155.N,X121319752165155_X_.N,6,X121319752165155.N,Natural killer cell,N
X121319763860765.T,X121319763860765_Y_.T,1,X121319763860765.T,Exhausted CD8+ T cells,T
X121319763962164.T,X121319763962164_Y_.T,2,X121319763962164.T,Phagocytosis Macrophage,T
X121319764117356.N,X121319764117356_X_.N,2,X121319764117356.N,Phagocytosis Macrophage,N
X121319764121894.N,X121319764121894_X_.N,8,X121319764121894.N,Lung Cancer Cell,N
X121319764384028.T,X121319764384028_Y_.T,1,X121319764384028.T,Exhausted CD8+ T cells,T
X121319764409075.T,X121319764409075_Y_.T,8,X121319764409075.T,Normal Fibroblast,T
X121319764442357.N,X121319764442357_X_.N,0,X121319764442357.N,Blood Cell,N
X121319783058781.T,X121319783058781_Y_.T,2,X121319783058781.T,Phagocytosis Macrophage,T
X121319783261942.N,X121319783261942_X_.N,2,X121319783261942.N,Pro-angiogenesis Macrophage,N
X121319783544622.T,X121319783544622_Y_.T,4,X121319783544622.T,Macrophage,T
X121319783557477.N,X121319783557477_X_.N,3,X121319783557477.N,Pro-angiogenesis Macrophage,N
X121319783558502.T,X121319783558502_Y_.T,4,X121319783558502.T,Phagocytosis Macrophage,T
X121337990208805.T,X121337990208805_Y_.T,5,X121337990208805.T,B Cell,T
X121337990499124.N,X121337990499124_X_.N,6,X121337990499124.N,Natural killer cell,N
X121337990564150.T,X121337990564150_Y_.T,0,X121337990564150.T,CD4+ T cell,T
X121337990728478.T,X121337990728478_Y_.T,0,X121337990728478.T,T regulatory cells,T
X121337990760301.T,X121337990760301_Y_.T,0,X121337990760301.T,CD4+ T cell,T
X121337991052574.T,X121337991052574_Y_.T,0,X121337991052574.T,Effector/Memory CD4+ T cells,T
X121338004921707.T,X121338004921707_Y_.T,0,X121338004921707.T,CD4+ T cell,T
X121338004953014.N,X121338004953014_X_.N,7,X121338004953014.N,Macrophage,N
X121338005175019.N,X121338005175019_X_.N,7,X121338005175019.N,Pro-angiogenesis Macrophage,N
X121338005251805.N,X121338005251805_X_.N,7,X121338005251805.N,Macrophage,N
X121338005408692.T,X121338005408692_Y_.T,6,X121338005408692.T,Natural killer cell,T
X121338005449075.T,X121338005449075_Y_.T,0,X121338005449075.T,CD4+ T cell,T
X121338017570150.N,X121338017570150_X_.N,1,X121338017570150.N,Effector/Memory CD8+ T cells,N
X121338017835252.T,X121338017835252_Y_.T,2,X121338017835252.T,Phagocytosis Macrophage,T
X121338018294061.T,X121338018294061_Y_.T,5,X121338018294061.T,B Cell,T
X121338036895084.N,X121338036895084_X_.N,2,X121338036895084.N,Pro-angiogenesis Macrophage,N
X121338036959971.N,X121338036959971_X_.N,7,X121338036959971.N,Macrophage,N
X121339869617436.N,X121339869617436_X_.N,6,X121339869617436.N,Natural killer cell,N
X121339869808493.N,X121339869808493_X_.N,0,X121339869808493.N,Blood Cell,N
X121339870038894.T,X121339870038894_Y_.T,0,X121339870038894.T,CD8+ T cell,T
X121339870112046.N,X121339870112046_X_.N,0,X121339870112046.N,Blood Cell,N
X121339884005678.N,X121339884005678_X_.N,6,X121339884005678.N,Natural killer cell,N
X121339884260579.N,X121339884260579_X_.N,3,X121339884260579.N,Pro-angiogenesis Macrophage,N
X121339884555099.T,X121339884555099_Y_.T,1,X121339884555099.T,Exhausted CD8+ T cells,T
X121339884718388.T,X121339884718388_Y_.T,7,X121339884718388.T,Macrophage,T
X121339884727518.N,X121339884727518_X_.N,7,X121339884727518.N,Pro-inflammatory Macrophage,N
X121339896621292.N,X121339896621292_X_.N,7,X121339896621292.N,Pro-angiogenesis Macrophage,N
X121339897048307.T,X121339897048307_Y_.T,2,X121339897048307.T,Macrophage,T
X121339897298213.N,X121339897298213_X_.N,2,X121339897298213.N,Pro-angiogenesis Macrophage,N
X121339897301934.T,X121339897301934_Y_.T,4,X121339897301934.T,Macrophage,T
X121339897399139.N,X121339897399139_X_.N,1,X121339897399139.N,Effector/Memory CD4+ T cells,N
X121339915430837.T,X121339915430837_Y_.T,0,X121339915430837.T,Effector/Memory CD8+ T cells,T
X121339915488691.T,X121339915488691_Y_.T,1,X121339915488691.T,Exhausted CD8+ T cells,T
X121339915652013.T,X121339915652013_Y_.T,6,X121339915652013.T,Natural killer cell,T
X121339915679606.T,X121339915679606_Y_.T,8,X121339915679606.T,Any Cell,T
X121339915910579.N,X121339915910579_X_.N,0,X121339915910579.N,Blood Cell,N
X121339916008876.T,X121339916008876_Y_.T,5,X121339916008876.T,B Cell,T
